course_title,subject,level,price,num_subscribers
Advanced SQL Query Optimization,Database Management,Expert Level,129.99,321
Introduction to Corporate Finance,Business Finance,All Levels,49.99,1904
Fashion Design Fundamentals,Design,Beginner Level,39.99,2578
Advanced Logo Design Techniques,Design,Intermediate Level,59.99,1234
Music Theory for Beginners,Musical Instruments,Beginner Level,19.99,4536
Digital Music Production with FL Studio,Musical Instruments,Intermediate Level,79.99,861
Mobile App Design Principles,Design,Intermediate Level,49.99,1893
Professional Portrait Photography,Photography,Intermediate Level,69.99,1150
Digital Marketing Analytics,Marketing,Intermediate Level,79.99,1642
Advanced Financial Management Strategies,Business Finance,Expert Level,99.99,632
User Interface (UI) Design Fundamentals,Design,Beginner Level,29.99,2789
Creating Interactive Web Applications,Web Development,Intermediate Level,89.99,795
Blockchain Technology Fundamentals,Technology,All Levels,59.99,2345
Introduction to 3D Animation,Animation,Beginner Level,49.99,1687
Advanced Video Editing Techniques,Video Production,Intermediate Level,79.99,1142
Music Production with Logic Pro X,Musical Instruments,Intermediate Level,89.99,998
Digital Advertising Strategies,Marketing,Intermediate Level,49.99,2413
Introduction to Artificial Intelligence,Technology,Beginner Level,39.99,2896
Creative Writing Workshop,Writing,All Levels,29.99,1935
Advanced Data Visualization with D3.js,Data Science,Expert Level,129.99,451
Advanced JavaScript Frameworks,Web Development,Expert Level,99.99,587
Introduction to Interior Design,Design,Beginner Level,24.99,3010
Advanced Photo Retouching Techniques,Photography,Intermediate Level,59.99,1478
Music Composition for Film and TV,Musical Instruments,Intermediate Level,69.99,763
Social Media Marketing Strategies,Marketing,Intermediate Level,49.99,2165
Introduction to Cybersecurity,Technology,Beginner Level,39.99,1579
Advanced Python Programming,Programming,Intermediate Level,79.99,899
Introduction to Digital Painting,Art,Beginner Level,19.99,4225
Advanced Game Development with Unity,Game Development,Expert Level,129.99,703
Introduction to Human-Centered Design,Design,Beginner Level,29.99,2687
